imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certification
tt0253658,0.0,/4COXzXt4axwGNxOK90KJ3YD8lM9.jpg,,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]",,20410.0,en,Scooby-Doo and the Alien Invaders,"A cosmic case of flying saucers, intergalactic intrigue and out-of-this-world romance launches Scooby-Doo and the Mystery Inc. Gang into their most unearthly adventure ever.",15.358,/sr3j6B3fLrZKnOvembNERKSayCv.jpg,"[{'id': 1353, 'logo_path': '/yXhCcOFK5Fy3ZBQwhBYx8Zu9ZIw.png', 'name': 'Hanna-Barbera Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-10-03,0.0,74.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Scooby-Doo and the Alien Invaders,0.0,7.13,312.0,NR
tt0253700,0.0,,,120000.0,"[{'id': 27, 'name': 'Horror'}]",,28127.0,en,Sideshow,"While visiting a traveling carnival full of human freaks, high school students nearly join as permanent members.",3.8,/1GuKGoAXQ5Pd97TgVgCmjpa0GBV.jpg,"[{'id': 1369, 'logo_path': None, 'name': 'Full Moon Pictures', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-07-11,0.0,74.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Step right up!,Sideshow,0.0,4.833,7.0,
tt0253709,0.0,/gsXBBl4E4VzFcf0sG5cUeZ6ZzHA.jpg,,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",http://www.sinthemovie.com/,34772.0,ja,Sin: The Movie,"It is the near future, and the city of Freeport teeters on the verge of total collapse. The twin tides of rampant crime and ruinous graft face only one barrier: the elite strike force HARDCORPS. Led by Colonel John Blade, HARDCORPS is the last force for justice in the darkening city.",2.824,/5pzbXzP7KAiwgrnrCbrxjQaNBP.jpg,"[{'id': 3465, 'logo_path': '/x8my1WrmOQa8P68XrZPixPBnSkm.png', 'name': 'ADV Films', 'origin_country': 'US'}, {'id': 15238, 'logo_path': None, 'name': 'Phoenix Entertainment', 'origin_country': 'JP'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'JP', 'name': 'Japan'}]",2000-10-24,0.0,60.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,"The sins of the father, have been passed to the child.",Sin: The Movie,0.0,4.5,4.0,NR
tt0253807,0.0,,,0.0,[],,701185.0,en,Three,An experimental dance piece revealing the complex dynamics between two dancers and another woman.,0.6000000000000001,/elZQLUbzt16GDuKDXvWIBITCSrd.jpg,[],[],2000-09-09,0.0,16.0,[],Released,,Three,0.0,0.0,0.0,
tt0253842,0.0,,"{'id': 403643, 'name': 'Troublesome Night Collection', 'poster_path': '/bPTx3TP4UJTHQfcLx4qIub9LXmi.jpg', 'backdrop_path': '/n3a7zF5GuxM2X8oPF6pKXqYS6ER.jpg'}",0.0,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",,403645.0,cn,陰陽路柒撞到正,"A film crew travels to the Hong Kong countryside to make an 'MTV' show. During their stay at the village, the crew hears eerie and horrific voices during the night and witnesses a phantom roaming around the premises. In addition, some feel that their feet were being tickled while in the water performing. The villagers attest that their territory is not haunted, but an old villager, familiar with the village's past, sheds light into the mystery.",0.664,/uFzMHqgwmNhKLTfIalpCLrq6Ehg.jpg,"[{'id': 77983, 'logo_path': None, 'name': 'Nam Yin Production Co., Ltd.', 'origin_country': ''}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",2000-01-15,0.0,94.0,"[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'Cantonese', 'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",Released,,Troublesome Night 7,0.0,1.0,1.0,
tt0253912,0.0,,,0.0,"[{'id': 35, 'name': 'Comedy'}]",,293929.0,de,Vom Küssen und vom Fliegen,,0.6000000000000001,,"[{'id': 124, 'logo_path': '/7MjDMOybX0D3fcIEpCyY9es5XZU.png', 'name': 'SWR', 'origin_country': 'DE'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2000-07-19,0.0,0.0,[],Released,,Vom Küssen und vom Fliegen,0.0,0.0,0.0,
tt0253955,0.0,/zxIbGOzHOHidTXILtfijq2inawc.jpg,,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,84702.0,cn,小親親,"Luna Ng is a columnist who gave her first boyfriend a vinyl record as a gift. She later discovers that same vinyl record in a second hand store so she attempts to buy it back. However, another person ends up buying it before her. She finds out that the new owner of the record is Cheung Yung, a radio host. Luna ends up both loving and detesting Yung after he comments on her love life on radio. The story is about the battle of two willful and creative characters.",0.84,/hcoaMiCcYKJvqmPUsdEe9Tlm5Sk.jpg,"[{'id': 44177, 'logo_path': None, 'name': 'United Filmmakers Organisation (UFO)', 'origin_country': ''}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",2000-06-30,0.0,96.0,"[{'english_name': 'Cantonese', 'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",Released,,And I Hate You So,0.0,5.8,9.0,
tt0253987,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}]",,62700.0,en,De Zwarte Meteoor,Nederlandse voetbalfilm,0.6000000000000001,,[],[],2000-12-14,0.0,0.0,[],Released,,De Zwarte Meteoor,0.0,6.5,2.0,
tt0254102,0.0,,,0.0,"[{'id': 36, 'name': 'History'}, {'id': 99, 'name': 'Documentary'}]",,788570.0,en,Antietam: A Documentary Film,"Re-enactments illustrate the details of the three principle stages of the battle of Antietam, fought November 17th, 1862. Also features animated tactical maps, dramatic readings of personal papers, and expert narrative commentary.",0.6000000000000001,,[],[],2000-12-03,0.0,57.0,[],Released,,Antietam: A Documentary Film,0.0,0.0,0.0,NR
tt0254110,0.0,/kM2XKl3uJpDDrXdnq0LeEuLjSMo.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,27820.0,es,Apariencias,"Carmelo, who is 30-years old and extremely shy, finds it difficult to reveal his innermost feelings to Verónica, his co-worker. Carmelo's world collapses when he finds out that she intends to get married soon. Accidentally, she spots him demonstrating in a gay rally where he becomes a leader of that cause. Of course, Verónica assumes that Carmelo is gay, and he takes adv antage of this misunderstanding.",0.74,/f8JZfPLhWPC3eGNXI08Bke1Ca9m.jpg,"[{'id': 4718, 'logo_path': None, 'name': 'Naya Films S.A.', 'origin_country': ''}, {'id': 2562, 'logo_path': '/hQcSVwfXKkjXzD4oO9BmHKoyfkh.png', 'name': 'Patagonik', 'origin_country': 'AR'}, {'id': 27281, 'logo_path': '/5OcAiAyQQ1PSFK7xgsDj7eaEQ5h.png', 'name': 'Pol-Ka Producciones', 'origin_country': 'AR'}]","[{'iso_3166_1': 'AR', 'name': 'Argentina'}]",2000-07-01,0.0,94.0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,Apariencias,0.0,8.2,11.0,
tt0254151,0.0,,,0.0,"[{'id': 99, 'name': 'Documentary'}]",,212898.0,de,Automat Kalashnikov,"Documentary about Mikhael T. Kalashnikov, inventior of the AK-47 assault rifle. The story of a tragic hero whose name will be synonymous with struggle and terrorism forever.",0.841,,"[{'id': 141009, 'logo_path': None, 'name': 'Adi Mayer Film', 'origin_country': 'AT'}, {'id': 72515, 'logo_path': None, 'name': 'Engstfeld Filmproduktion GmbH (Köln)', 'origin_country': ''}, {'id': 3391, 'logo_path': '/t0QBs2fI3mE3HxgoH1n39bYuzNu.png', 'name': 'ORF', 'origin_country': 'AT'}, {'id': 201, 'logo_path': '/6UIpEURdjnmcJPwgTDRzVRuwADr.png', 'name': 'ARTE', 'origin_country': 'FR'}, {'id': 46, 'logo_path': '/3xFdKHLXPGHEbrAkmsepGE8974Y.png', 'name': 'WDR', 'origin_country': 'DE'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'AT', 'name': 'Austria'}]",2000-05-08,0.0,95.0,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Automat Kalashnikov,0.0,0.0,0.0,
tt0254197,0.0,,,0.0,[],,726963.0,en,Brothers,"Everyone's ""larging"" it big time as a bunch of Brit boys work their way through Paros getting high, getting drunk and getting laid.",0.84,/b4OAgDbE3HoBQQkH1gLizDgJAlD.jpg,[],[],,0.0,98.0,[],Released,,Brothers,0.0,2.0,1.0,
tt0254238,0.0,,,0.0,"[{'id': 10402, 'name': 'Music'}]",,377705.0,it,L'Incoronazione di Poppea,"Experience Claudio Monteverdi's three-act opera in the environment it was meant to be seen with this release of a filmed performance captured live during a 2000 production staged at the Festival d'Aix-en-Provence in France. Mireille Delunsch, Anne Sofie Von Otter, and Sylvie Brunet star, and conductor Marc Minkowski leads the Les Musiciens du Louvre, Grenoble. Klaus Michael Grüber directs for stage.",0.6000000000000001,,"[{'id': 71879, 'logo_path': None, 'name': 'Bel Air Classiques', 'origin_country': ''}, {'id': 72142, 'logo_path': None, 'name': ""Festival d'Aix-en-Provence"", 'origin_country': ''}, {'id': 15790, 'logo_path': None, 'name': 'BelAir Media', 'origin_country': 'FR'}, {'id': 587, 'logo_path': '/6UIpEURdjnmcJPwgTDRzVRuwADr.png', 'name': 'ARTE', 'origin_country': 'DE'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",2000-07-25,0.0,166.0,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,L'Incoronazione di Poppea,1.0,0.0,0.0,
tt0254251,0.0,,,0.0,[],,392096.0,fr,De l'histoire ancienne,"Guy's father was a hero during the French Resistance era but he never talks about it, or so little. When he dies,Guy, his brother and his sister have him incinerated, following a wish their dad had expressed when he was still alive. But Guy soon starts feeling uncomfortable about this move. Haven't they, by cremating the body of their father, make a hero disappear from man's memory? Haven't they used the same method as the Nazis to get rid of the remains of a hated enemy?",0.6000000000000001,,[],[],2000-04-09,0.0,119.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,,De l'histoire ancienne,0.0,0.0,0.0,
tt0254256,0.0,,,0.0,"[{'id': 10402, 'name': 'Music'}]",,164383.0,en,Deep Purple: In Concert with The London Symphony Orchestra,Deep Purple in Concert with the London Symphony Orchestra Conducted by Paul Mann. Recorded at the Royal Albert Hall London 25th &amp; 26th September 1999.,1.004,/lwXuNKGZSj5iQ0Ykqy6Fo0FAfE4.jpg,[],[],2000-02-07,0.0,120.0,[],Released,,Deep Purple: In Concert with The London Symphony Orchestra,0.0,8.7,3.0,
